dt,value,name
2023-01-07 16:38:55.955977,1181.0,python_petersburg_and_others
2023-01-08 12:00:39.887880,1183.0,python_petersburg_and_others
2023-01-09 12:00:43.358984,1200.0,python_petersburg_and_others
2023-01-10 12:00:40.402427,1235.0,python_petersburg_and_others
2023-01-11 12:00:40.872412,1312.0,python_petersburg_and_others
2023-01-12 12:00:41.285750,1349.0,python_petersburg_and_others
2023-01-13 12:00:41.715534,1339.0,python_petersburg_and_others
2023-01-14 12:00:39.943447,1338.0,python_petersburg_and_others
2023-01-15 12:00:39.603005,1309.0,python_petersburg_and_others
2023-01-16 12:00:40.266073,1308.0,python_petersburg_and_others
2023-01-17 12:00:40.949247,1357.0,python_petersburg_and_others
2023-01-18 12:00:40.111844,1401.0,python_petersburg_and_others
2023-01-19 12:00:41.007276,1353.0,python_petersburg_and_others
2023-01-20 12:00:40.937856,1477.0,python_petersburg_and_others
2023-01-21 08:20:45.177668,1497.0,python_petersburg_and_others
2023-01-21 08:20:47.468765,1223.0,python_petersburg
2023-01-21 09:20:51.110220,1497.0,python_petersburg_and_others
2023-01-21 09:20:53.004232,1224.0,python_petersburg
2023-01-21 14:45:52.743758,1489.0,python_petersburg_and_others
2023-01-21 14:45:54.806544,1217.0,python_petersburg
2023-01-21 15:45:42.691770,1481.0,python_petersburg_and_others
2023-01-21 15:45:49.088383,1210.0,python_petersburg
2023-01-21 15:51:12.372190,1436.0,python_petersburg_and_others
2023-01-21 15:51:13.398648,1210.0,python_petersburg
2023-01-21 16:39:22.708634,1480.0,python_petersburg_and_others
2023-01-21 16:39:23.691888,1169.0,python_petersburg
2023-01-21 16:49:34.554917,1480.0,python_petersburg_and_others
2023-01-21 16:49:35.554635,1209.0,python_petersburg
2023-01-21 16:53:44.504504,1436.0,python_petersburg_and_others
2023-01-21 16:53:45.430198,1209.0,python_petersburg
2023-01-22 12:00:39.770221,1472.0,python_petersburg_and_others
2023-01-22 12:00:40.783651,1201.0,python_petersburg
2023-01-23 12:00:40.800747,1471.0,python_petersburg_and_others
2023-01-23 12:00:41.935460,1203.0,python_petersburg
2023-01-24 12:00:41.311902,1489.0,python_petersburg_and_others
2023-01-24 12:00:42.497666,1217.0,python_petersburg
2023-01-25 12:00:40.698307,1501.0,python_petersburg_and_others
2023-01-25 12:00:41.793345,1241.0,python_petersburg
2023-01-26 12:00:41.373842,1516.0,python_petersburg_and_others
2023-01-26 12:00:42.692401,1245.0,python_petersburg
2023-01-27 12:00:40.389032,1527.0,python_petersburg_and_others
2023-01-27 12:00:41.470906,1252.0,python_petersburg
2023-01-28 12:00:39.967511,1532.0,python_petersburg_and_others
2023-01-28 12:00:41.096334,1258.0,python_petersburg
2023-01-29 12:00:40.491435,1516.0,python_petersburg_and_others
2023-01-29 12:00:41.524440,1248.0,python_petersburg
2023-01-30 12:00:41.552191,1534.0,python_petersburg_and_others
2023-01-30 12:00:42.741662,1262.0,python_petersburg
2023-01-31 09:09:05.583791,1542.0,python_petersburg_and_others
2023-01-31 09:09:07.201179,1270.0,python_petersburg
